os,lineage_full,version_full,desktop_full,maintained_full,iso_access_note,customers_note,official_image_note
银河麒麟桌面操作系统,⚠️ 官方未声明。V10 SP1 实测为 Debian/Ubuntu 系（deb/apt、ID_LIKE=debian）；V11 官网只写「基于全新内核开发」+ 磐石架构 + 开明包格式 + OSTree 原子更新，全文不提上游发行版，但出现「一键转换 deb 包为开明包」，间接指向 deb 底座。流传的「V11 桌面基于 openKylin」未找到任何一手出处，按未证实处理,V11（2025-08-26 在 2025 中国操作系统产业大会发布，官方称首个采用 6.6 内核的商业版国产操作系统；官网挂 2603 版本说明，PDF 上传路径日期 20260228/20260423/20260511）；V10 SP1 最新为 2503 版本（2025-04）,V10 SP1 = UKUI；V11 = ⚠️ 未公开（官网 V11 产品页全文未出现 UKUI 字样，只写「新桌面、新壁纸、新屏保」）,活跃,官网试用页未登录即可看到 27 个下载中间页，桌面版含 `Kylin-Desktop-V11-2603-Release-20260228-X86_64.iso`（7.64 GB）、同版 ARM64（7.81 GB）/ Loong64（5.51 GB）/ SW64（5.70 GB），以及 `Kylin-Desktop-V10-SP1-2503-Release-20250430-X86_64.iso`（4.45 GB）与其 HWE、HWE-PP、ARM64、LoongArch64、SW64、mips64el 各版本；每页给出文件名、大小、SHA256 与 SM3。「立即下载」的最终字节流直链由客户端拼装，本轮未解引用，故这些字节数取自页面而非我们 HEAD 到的结果。,"桌面版在厂商 registry 里就不存在——这是比「我们拉不到」更强的证据。cr.kylinos.cn（Harbor v2.11.1，站点标题「服务器软件中心」）的公开项目可匿名枚举：basekylin(160)/eco(107)/kylin(27)/hostos(2)/goharbor(18)/k8s.gcr.io(26)/ingress-nginx(2)/bitnami(1)。kylin 项目 27 个仓库全部枚举，全是 kylin-server-v10sp1|sp2|sp3 的 {基础,-init,-minimal,-micro} × {x86_64,aarch64,loongarch64}，含 desktop 或 ukui 的为 0 个。另注：厂商自己就在用 micro/minimal/init 分档。registry.kylinos.cn 是另一个 Harbor，只有空的 library 项目。"
统信桌面操作系统 V25（UOS）,⚠️ 官方未书面确认。官方话语体系只讲 DTK + Qt 与内核版本（V20 线 4.19/5.10，V25 线 6.6），全程不提 Debian；业界共识为 Debian 系。社区上游为 deepin（统信全资子公司），而 deepin 自 23 起已自建独立基础仓库,桌面专业版 V25（2026-04-15 正式发布；镜像名 uos-desktop-25-professional-2500-amd64-202604.iso，内部版本号 2500）；V20 线仍维护，桌面专业版最新 1070u4,DDE（V25 起走 Treeland Wayland + Qt6 路线）,活跃,`uos-desktop-25-professional-2500-amd64-202604.iso` HTTP 200 / **7282405376 B（6.78 GB）** / `content-type: application/octet-stream` / `accept-ranges: bytes`，无需登录；本项目切片路径的 `ISO_URL` 就是它，`tools/fetch-squashfs.py` 用 HTTP Range 从中抽取 squashfs。其上级目录返回 403，即不可列目录但文件可取。,官方容器镜像平台确实存在（统信容器镜像平台 UOS Container Registry，门户 uoscr.chinauos.com，pull 域名 registry.uniontech.com），但里面没有桌面版。⚠️ 先纠一个方法学陷阱：从本机经代理访问这两个域名均返回 000，看起来「不可达」，直连（curl --noproxy）实为 **200** —— 代理会把中国大陆站点绕到境外从而造出假的不可达结论。直连后枚举其 Harbor API：18 个公开项目，含 desktop/dde/ukui 的为 0 个；基础镜像项目名就叫 uos-server-base，8 个仓库全是 uos-server-20-*（含 loongarch/sw64 分支）。官方产品页也写明适用范围是「统信服务器操作系统 V20 及统信云原生操作系统 V20，暂不支持其他操作系统」，全文未提 desktop。
openKylin（开放麒麟）,Debian 系（apt，dists 代号 yangtze/nile/huanghe）,3.0「黄河」（ISO 构建日 2026-08-27，公告 2026-08-28）,UKUI 4.24（自研）。⚠️ 桌面 ISO 只有 x86_64/arm64/loong64 三种架构，RISC-V 侧只有嵌入式镜像（openKylin-Embedded-V3.0-Release-spacemit-k3-riscv64.zip），与公告宣称的「四架构支持」不完全一致,活跃,ISO 在 `<mirror>/openkylin-cdimage/` 下，规范源是 `releases.openkylin.top/<版本>/`；`<mirror>/openkylin/` 是 apt 软件仓库，只有 `dists/`、`pool/`、`project/`。实测 `openKylin-Desktop-V3.0-20260827-x86_64.iso` HTTP 200 / **8068329472 B（8.07 GB）**，arm64 6748999680 B、loong64 4391073792 B。,Docker Hub 侧账号类型为个人（User）而非 Organization、无 open_source badge，但官网有容器镜像页、Gitee 有 openkylin-docker-images 仓；官方性高度可信但缺官网直链证据。镜像为基础镜像，非桌面版。
deepin（深度）,Debian 系（代号 apricot/beige/crimson）,25.2.1（2026-08-04，在线更新，不出新 ISO）；最新 ISO 仍为 25.2.0（cdimage amd64/arm64/riscv64 = 2026-07-07，loong64 = 2026-07-14）,DDE 7.0（自研）+ Treeland（Wayland 合成器）；riscv64 明确标 Technology Preview,活跃,`cdimage.deepin.com` 直连可取：`deepin-desktop-community-25.2.0-amd64.iso` 实测 **6976131072 B（6.98 GB）**,linuxdeepin 是 deepin 官方代码组织名、org profile 指向 deepin.org，但未找到官网指向该 Hub 命名空间的直链，官方性记为中等。均为基础镜像。旧的 deepin/deepin-core 最后更新 2017-01-10。
openEuler,独立选型，早期 RHEL/CentOS 血统、现自主演进；rpm/dnf,24.03 LTS SP4（2026-06-30）；创新版 25.09（2025-09-30）,无桌面版 ISO；UKUI/DDE/Kiran 以软件包提供（早期还有 GNOME 与 Xfce，官方文档已在 24.03 LTS SP1 与 SP4 相继下架）；官方开发者桌面形态为 DevStation，桌面环境是 GNOME（依据 25.09 版 ISO 的 .rpmlist：gnome-shell-44.6 / gnome-session-44.0 / gdm-45.0.1 + vscodium，同清单里 ukui/dde/kiran/xfce/plasma 命中均为 0）,活跃,`repo.openeuler.org` 直连可取：SP4 的 `-x86_64-dvd.iso` 实测 **4833935360 B（4.83 GB）**、25.09 DevStation 的 dvd 实测 **5627537408 B（5.63 GB）**，均 HTTP 200 + `application/octet-stream`，无需注册,官方基础镜像在 Docker Hub 与 Quay，均为服务器/基础镜像；453 个仓库中零桌面。唯一桌面向的官方容器交付物是 DevStation 的 rootfs tar.xz，只放在 repo.openeuler.org、不在任何 registry，且仅 24.03 LTS SP3 一版有。
麒麟信安操作系统（KylinSec）,openEuler 系（列于 openEuler 官方商业发行版页）,V6 SP1（2026-06）,自研 Kiran / KiranUI,活跃,下载页 UI 是「网盘 + 提取码 + 表单」，但真实 URL 明文写在 `<a>` 的 `file_id` 属性里、提取码全填「无」或「N/A」；`mirrorlists.kylinsec.com.cn/iso/` 是匿名可列 autoindex，含 9 个版本目录。无 cookie 无 referer 直取 `KylinSec-Desktop-6-release-250704-1154-x86_64.iso` 得 HTTP 200 / **4508876800 B（4.51 GB）**。,Docker Hub kylinsec 命名空间 0 个仓库。只能证明该处未公开，不能证明厂商无私有 registry。
方德桌面操作系统 V5.0,⚠️ 官方未声明，只说「基于核高基重大专项安全加固内核成果持续优化发展」。旁证指向 deb 系：官方源 repos.os.nfschina.com/debian-sign/ 与 update.os.nfschina.com/repo_desktop_4.0/ 内含 mate-desktop-environment 等 deb 包,V5.0 首发 2022-06-17；兆芯适配版 2025-05 上线；Pro 版 V5.0（内核 6.6）2025-09-12 通过《安全可靠测评结果公告（2025年第3号）》，与银河麒麟桌面 V11 并列为首批基于 Linux 6.6 LTS 过评的两款桌面 OS,⚠️ 未公开（官方未命名；官方源内含 MATE 包，疑为 MATE 衍生但不确定）,活跃,官网「镜像下载」栏目 HTTP 200 但主内容区为空（`download_div` 计数 0，对照「资料下载」栏目有 22 个）；「产品试用申请」返回「表单模型不存在」。两台公开更新服务器递归爬完 900 与 119 个目录，无任何桌面 ISO。同厂服务器版匿名可下：`NFSCNS-4-0-230108-AN-x86_64-DVD.iso` HTTP 200 / **3745536000 B（3.75 GB）**。,未公开。查过官网镜像下载栏（提供 ISO 非容器）、GitHub 组织 nfschina、官方 APT/RPM 源目录、Docker Hub nfschina（0 仓库）、cr./registry./mirror./mirrors.nfschina.com（域名均不解析）。
Ubuntu Kylin（优麒麟）,Ubuntu 直系（ISO 托管在 cdimage.ubuntu.com 的 Canonical 自有基础设施）,26.04.1 LTS（2026-08-27）；26.04 于 2026-04-24 发布，官方公告原文「该版本将支持3年」,UKUI,活跃,托管在 Canonical 的 `cdimage.ubuntu.com`：`ubuntukylin-26.04.1-desktop-amd64.iso` 实测 **5694060544 B（5.69 GB）**,确认无官方容器镜像（Docker Hub ubuntukylin 与 kylinos 命名空间 count=0，只有第三方）；实际使用上游 docker.io/library/ubuntu。支持周期以官方公告原文为准是 3 年（早先第三方分析文章称「9 个月、非 LTS」，作废）；⚠️ 公告正文未出现 LTS 字样，故不写 LTS。
Loongnix（龙芯）,Debian 系。25 线 ⚠️**推断为** Debian 13 trixie（依据是 pool 里 bash 5.2.37-2、libc-bin 2.41-13 正是 trixie 组合；官方无明文声明），架构 loong64 新世界 ABI；20 线为 Debian 10 buster、架构 loongarch64 旧世界 ABI。⚠️ 陷阱：两条线的 dists/*/Release 都误写 Origin: Debian / Version: 10.4，不能据此判断血统,Loongnix-25.1 正式版（2026-08-20）；20 线 Loongnix-20.7 正式版（2026-07-17）,KDE（硬证据是 ISO 文件名 Loongnix-25.1.livecd.kde-loong64.hybrid.iso、Loongnix-20.7.livecd.kde.loongarch64.iso）。「Loongnix 用 MATE」是 20 系列早期旧资料，已过时,活跃,`pkg.loongnix.cn` 直连可取：`Loongnix-25.1.livecd.kde-loong64.hybrid.iso` 实测 **5858738176 B（5.86 GB）**,厂商自有 registry cr.loongnix.cn（实为 Red Hat Quay，有效 API 是 /api/v1/*）。实测 loongson/loongnix 只有 20 / 20-ssh / 20.7 三个 tag，25 与 25.1 均不存在——即最新桌面版没有对应官方容器镜像，能拉到的是上一代（Debian 10 血统、旧世界 ABI）。
凝思安全操作系统,Debian 系，本名录里证据最硬的一条：官方 V6.0.80 发布说明写 grub2 升级到 2.06-3~deb10u4linx5（deb10 = Debian 10 buster），官方文档中出现 iceweasel（Debian 独有的 Firefox 改名）+ glibc 2.28 组合。厂商自身表述只到「以 Linux 社区发行版本为基础」。另有 openEuler 分支产品（欧拉版 V6.0.99）,X86_64 为 V6.0.80 子版本 20250816（cat /etc/issue → LinxOS 6.0.80 20250816）；并行在架 V6.0.100 与 V6.0.99 欧拉版。⚠️ V6.0.100 正式发布日期未查到,⚠️ 无独立命名的「桌面版」产品：图形场景由基础版与图形工作站版承担，可选 GNOME 3.14 / KDE 4.11 / MATE 1.8 / XFCE 4.10，无自研 DE。V6.0.80 发布说明的适用范围原文是「适用 X86_64 架构的服务器和工作站」,活跃（发布说明 20250816；针对 CVE-2025-26465/26466、CVE-2024-27078 的升级预案持续发布）,官网 `download/` 是完全开放的 Apache autoindex，22 个 ISO 匿名可下：最新欧拉版 `linxos-v6.0.99-el20.03-20260605-x86_64.iso` HTTP 200 / **7138705408 B（7.14 GB）** / `application/x-iso9660-image`。最新 V8 与 6.0-g2 目录返回 401 Basic auth，同级 6.0.99 是 200。,未公开。注意系统自带「支持 docker 1.11.2」是「能跑容器」不是「发镜像」。查过官网 download 全目录、Docker Hub linx（只有无关的 linx/apache）、cr./registry.linx-info.com（不解析）。
Anolis OS（龙蜥）,RHEL/CentOS 兼容系；ANCK 内核；rpm/dnf,23.5（镜像站已上线；官方发布动态只到 23.3 GA / 2025-06，23.4/23.5 发布日期未公开）,无独立桌面 ISO（实测 23.3/23.4/23.5 只有 boot.iso 与 dvd.iso），但有官方桌面供货渠道：mirrors.openanolis.cn/anolis/23.5/DDE/ 是独立 DDE 仓库，含 x86_64/aarch64/loongarch64（无 riscv64），装法 yum groupinstall dde，DDE 自 23.1 起与 GNOME 同级,活跃（镜像站），但官方发布动态未同步,`mirrors.openanolis.cn` 直连可取：`AnolisOS-23.5-x86_64-boot.iso` 实测 **1320222720 B（1.32 GB）**（无桌面版 ISO，见桌面环境一列）,gitee.com/anolis/docker-images 的 README 明示官方并给出 Hub 地址（反向证据）；均为基础镜像。README 只声明 8.6/latest，而产品已到 23.5，镜像严重滞后。
